id_colaborador,nome,genero,nivel,data_admissao,data_promocao,salario_base,percentual_bonus,id_departamento,id_filial,id_reporta_a,processos_actifs,horas_extras_mes,score_satisfacao,home_office,status_atual
1,Isabela Carvalho 1,Não-binário,Júnior,07/09/2024,,"R$ 3834,82",0,10,1,501,14,8,,False,Ativo
2,Samuel Teixeira 2,Não-binário,Pleno,2022-05-09,,7267.8,15,10,2,300,16,8,4.9,True,Desligado
3,Diego Santos 3,Masculino,Júnior,2025-01-02,,4771.24,1,10,1,501,29,11,4.7,True,Ativo
4,Carla Oliveira 4,Não-binário,Pleno,2020-04-03,,7819.21,14,30,2,300,32,13,3.5,False,Desligado
5,Carla Oliveira 5,Não-binário,Júnior,2025-09-15,,4452.47,5,20,3,300,46,42,2.2,False,Desligado
6,Gabriela Almeida 6,Feminino,Júnior,2025-08-03,,4814.55,4,40,3,501,16,9,4.5,True,Ativo
7,Mariana Rocha 7,Não-binário,Júnior,2025-01-05,,3828.98,10,30,4,400,17,15,4.3,True,Ativo
8,Isabela Carvalho 8,Não-binário,Pleno,07/02/2023,,5534.44,20,40,4,400,15,11,4.0,True,Desligado
9,Felipe Costa 9,Não-binário,Pleno,2022-11-05,2023-12-29,6395.33,12,10,3,400,28,2,4.3,True,Ativo
10,João Lima 10,Masculino,Pleno,2021-05-05,,8134.03,18,10,1,200,16,17,4.9,False,Desligado
11,Samuel Teixeira 11,Feminino,Júnior,2025-12-07,,3801.73,3,30,4,501,19,4,3.8,False,Ativo
12,Carla Oliveira 12,Feminino,Pleno,2023-12-20,2025-11-07,"R$ 5702,2",14,20,2,502,60,41,1.8,False,Ativo
13,Natan Alves 13,Masculino,Júnior,2024-07-13,,3641.49,6,40,2,100,35,12,4.6,True,Ativo
14,Samuel Teixeira 14,Feminino,Sênior,2019-07-08,2023-07-07,10624.13,23,20,2,200,62,35,2.4,False,Desligado
15,Pedro Gomes 15,Masculino,Pleno,13/03/2021,2022-10-04,5993.91,16,20,4,200,66,57,1.7,False,Ativo
16,Tatiana Mendes 16,Fem,Júnior,2025-07-09,,3591.44,8,30,2,100,14,7,3.3,True,Ativo
17,Tatiana Mendes 17,Feminino,Júnior,2024-09-09,,4368.38,3,20,4,300,66,57,1.4,False,Ativo
18,João Lima 18,Não-binário,Júnior,2025-04-13,,3974.27,8,40,2,300,18,18,3.7,False,Ativo
19,João Lima 19,Masculino,Pleno,2020-11-19,,7129.65,20,10,2,200,21,5,4.9,False,Desligado
20,Samuel Teixeira 20,Feminino,Júnior,2024-06-08,,3908.52,7,30,1,400,20,3,,False,Ativo
21,Kamila Pereira 21,Feminino,Pleno,2024-04-28,,8439.39,11,30,1,300,34,6,4.2,False,Ativo
22,Bruno Souza 22,Feminino,Pleno,23/09/2021,,8299.26,20,20,4,501,66,38,1.5,True,Desligado
23,Felipe Costa 23,Feminino,Júnior,2024-06-30,,"R$ 4822,12",2,40,2,100,34,5,3.9,True,Ativo
24,Olivia Barbosa 24,Feminino,Júnior,2024-12-24,,3957.79,4,40,2,501,14,10,3.8,True,Ativo
25,Diego Santos 25,Feminino,Júnior,2024-09-24,,3767.85,6,40,3,501,31,18,3.4,False,Ativo
26,Natan Alves 26,Feminino,Júnior,2024-01-02,,4279.88,1,20,3,502,66,45,1.9,False,Ativo
27,João Lima 27,Não-binário,Júnior,2025-11-13,,4112.59,2,10,3,501,31,20,3.7,False,Ativo
28,Gabriela Almeida 28,Masculino,Júnior,2025-03-16,,4678.64,10,10,3,502,14,11,4.1,False,Ativo
29,João Lima 29,Feminino,Pleno,05/04/2021,2022-07-15,5638.64,16,30,1,400,30,8,4.5,True,Ativo
30,Elena Rodrigues 30,Feminino,Pleno,2023-09-05,,8177.98,12,40,4,100,26,3,4.2,False,Ativo
31,Renata Pinto 31,Masculino,Sênior,2020-02-19,2025-02-17,12256.94,33,40,2,200,17,17,4.0,True,Ativo
32,Hugo Ribeiro 32,Não-binário,Júnior,2024-10-08,,4159.81,2,30,4,502,19,14,4.4,False,Ativo
33,Natan Alves 33,Masculino,Pleno,2021-11-08,2023-08-12,5686.8,19,20,1,300,60,35,2.3,True,Ativo
34,Samuel Teixeira 34,Não-binário,Júnior,2025-09-09,,"R$ 4846,72",10,40,4,200,24,7,4.7,True,Ativo
35,Tatiana Mendes 35,Não-binário,Pleno,2023-09-19,,7428.25,16,10,4,400,18,16,3.8,False,Ativo
36,Carla Oliveira 36,Masculino,Pleno,21/08/2022,2023-08-30,5656.26,10,30,4,200,18,2,4.3,False,Ativo
37,Diego Santos 37,Não-binário,Pleno,2023-03-01,,6895.1,12,20,4,300,48,53,1.0,False,Desligado
38,Gabriela Almeida 38,Não-binário,Júnior,2024-03-18,,4388.15,0,40,4,300,23,19,4.0,False,Ativo
39,Natan Alves 39,Feminino,Júnior,2025-05-16,,3658.31,8,10,3,501,32,10,,True,Ativo
40,Tatiana Mendes 40,Masculino,Júnior,2024-10-01,,3983.46,9,40,4,400,31,14,3.8,True,Ativo
41,Gabriela Almeida 41,Masculino,Sênior,2018-12-28,2023-12-27,12655.33,26,30,2,200,35,15,4.1,False,Ativo
42,Ana Silva 42,Masculino,Sócio,2013-01-16,2019-01-30,22652.44,50,40,4,,22,13,4.5,True,Ativo
43,Hugo Ribeiro 43,Masculino,Pleno,2025-05-10,2024-01-15,6446.64,13,30,3,501,20,20,5.0,True,Desligado
44,João Lima 44,Feminino,Júnior,2024-08-20,,4041.32,4,30,1,400,34,6,4.3,True,Ativo
45,João Lima 45,Não-binário,Júnior,2025-04-25,,"R$ 4218,07",6,10,1,502,27,4,4.2,False,Ativo
46,Tatiana Mendes 46,Fem,Pleno,2021-09-14,,6244.57,18,10,2,501,26,16,3.7,False,Desligado
47,Vitor Xavier 47,Não-binário,Pleno,2020-05-03,2022-03-11,5797.7,12,40,3,100,17,19,3.3,False,Ativo
48,Vitor Xavier 48,Não-binário,Pleno,2022-08-20,,6194.43,20,40,4,200,20,22,4.3,False,Desligado
49,Hugo Ribeiro 49,Não-binário,Júnior,2025-10-25,,3723.48,1,40,1,300,26,11,4.5,True,Ativo
50,Vitor Xavier 50,Feminino,Júnior,10/02/2024,,4834.13,4,40,4,200,30,3,4.6,False,Ativo
51,Felipe Costa 51,Masculino,Sênior,2020-04-13,2026-04-12,9910.59,30,40,4,400,17,12,3.9,True,Desligado
52,Bruno Souza 52,Não-binário,Júnior,2025-04-10,,3632.09,8,30,4,501,26,15,3.3,False,Ativo
53,Olivia Barbosa 53,Não-binário,Júnior,2024-02-22,,3805.34,10,30,4,300,31,9,4.5,True,Ativo
54,Hugo Ribeiro 54,Feminino,Júnior,2024-04-26,,4192.17,7,10,4,200,27,9,4.0,False,Ativo
55,Renata Pinto 55,Não-binário,Júnior,2024-05-19,,4796.04,4,40,2,501,35,11,4.7,False,Ativo
56,Samuel Teixeira 56,Masculino,Sênior,2019-09-19,2024-09-17,"R$ 11197,45",27,40,2,502,19,15,3.3,False,Ativo
57,Elena Rodrigues 57,Masculino,Sócio,21/07/2017,2020-05-23,18802.92,49,40,4,,12,6,3.9,True,Ativo
58,Isabela Carvalho 58,Masculino,Pleno,2021-11-24,2023-10-09,7449.51,15,20,1,100,67,50,,True,Ativo
59,João Lima 59,Não-binário,Júnior,2024-08-20,,4620.15,4,10,2,100,12,3,3.8,False,Ativo
60,Natan Alves 60,Masculino,Pleno,2020-10-25,2022-02-27,7197.78,19,30,3,200,19,17,4.8,True,Ativo
61,Isabela Carvalho 61,Não-binário,Sênior,2019-07-31,2024-07-29,11593.64,25,20,4,400,56,53,1.4,True,Ativo
62,Gabriela Almeida 62,Masculino,Pleno,2022-02-26,,5819.96,10,30,4,502,24,10,3.2,True,Desligado
63,Hugo Ribeiro 63,Masculino,Sênior,2020-05-28,2025-05-27,10627.82,23,10,4,100,13,11,4.6,True,Ativo
64,João Lima 64,Feminino,Pleno,31/10/2021,31/05/2023,5896.48,12,30,2,300,27,11,4.5,False,Ativo
65,Elena Rodrigues 65,Feminino,Pleno,2024-03-24,,8080.42,11,10,4,400,12,10,4.2,True,Ativo
66,Mariana Rocha 66,Não-binário,Pleno,2023-07-31,2025-02-05,6201.47,19,30,3,400,32,4,4.3,True,Ativo
67,Elena Rodrigues 67,Feminino,Júnior,2024-02-16,,"R$ 4919,39",7,30,4,502,23,19,4.0,False,Ativo
68,Diego Santos 68,Não-binário,Pleno,2022-09-29,2024-08-09,8354.56,13,20,4,502,48,56,1.5,False,Ativo
69,Isabela Carvalho 69,Masculino,Júnior,2024-07-13,,4952.31,5,30,1,200,19,6,4.6,False,Ativo
70,Gabriela Almeida 70,Não-binário,Júnior,2024-08-26,,3992.84,4,10,2,100,17,5,4.4,False,Ativo
71,Hugo Ribeiro 71,Masculino,Pleno,20/04/2023,,6022.74,11,20,1,100,59,46,1.7,True,Desligado
72,Bruno Souza 72,Não-binário,Júnior,2025-11-05,,4282.18,10,40,2,400,15,17,4.5,True,Ativo
73,Vitor Xavier 73,Masculino,Sócio,2013-08-30,07/10/2016,23697.22,47,10,1,,31,15,3.4,False,Ativo
74,Olivia Barbosa 74,Masculino,Júnior,2024-08-21,,4120.72,10,10,2,502,20,13,4.9,False,Ativo
75,Carla Oliveira 75,Feminino,Pleno,2020-07-09,,7733.77,20,40,1,400,25,13,4.8,False,Desligado
76,João Lima 76,Não-binário,Júnior,2024-12-26,,3655.4,5,10,3,400,15,10,4.2,True,Ativo
77,Felipe Costa 77,Feminino,Sênior,2018-07-14,2023-07-13,10316.33,22,10,3,200,12,4,,False,Desligado
78,Kamila Pereira 78,Masculino,Pleno,18/11/2020,2022-05-26,"R$ 6473,15",12,40,4,502,13,4,3.7,False,Ativo
79,Olivia Barbosa 79,Não-binário,Sênior,2019-04-29,2024-04-27,11053.28,35,40,4,501,21,3,3.6,False,Desligado
80,João Lima 80,Feminino,Pleno,2021-03-08,2022-05-17,6368.34,12,10,1,502,29,9,4.1,True,Ativo
81,Bruno Souza 81,Masculino,Sócio,2016-11-21,2019-09-06,21434.27,47,30,1,,24,2,4.9,False,Ativo
82,Lucas Martins 82,Não-binário,Júnior,2024-03-31,,4155.07,5,20,4,100,52,45,2.1,False,Ativo
83,Lucas Martins 83,Masculino,Júnior,2025-10-22,,4722.56,1,10,2,501,17,22,4.1,True,Ativo
84,Kamila Pereira 84,Não-binário,Pleno,2020-11-05,,6906.76,15,40,3,100,14,11,4.0,False,Desligado
85,Carla Oliveira 85,Masculino,Júnior,22/10/2025,,4796.38,9,10,3,400,32,8,3.8,False,Ativo
86,Diego Santos 86,Masculino,Júnior,2024-12-17,,4973.58,8,20,1,300,64,40,1.5,False,Ativo
87,Vitor Xavier 87,Masculino,Sênior,2017-04-18,2022-04-17,12552.71,24,40,4,300,30,6,4.9,False,Ativo
88,Carla Oliveira 88,Não-binário,Pleno,2021-09-26,2023-07-09,7874.99,20,40,2,300,25,18,3.9,True,Ativo
89,Kamila Pereira 89,Feminino,Júnior,2025-05-12,,"R$ 3788,01",5,30,2,200,31,6,4.3,True,Ativo
90,Vitor Xavier 90,Não-binário,Sênior,2021-07-15,2025-07-14,11139.35,29,20,2,400,62,42,1.4,False,Ativo
91,Tatiana Mendes 91,Não-binário,Pleno,2022-06-21,,6345.32,19,20,3,300,53,36,1.9,False,Desligado
92,Carla Oliveira 92,Masculino,Pleno,11/04/2024,,6847.96,17,10,1,501,12,15,3.3,True,Ativo
93,Carla Oliveira 93,Masculino,Sênior,2019-02-07,2023-02-06,13276.29,24,30,2,400,27,6,4.6,True,Ativo
94,Ana Silva 94,Feminino,Pleno,2021-06-08,2022-09-26,7146.41,13,40,1,502,15,3,3.6,False,Ativo
95,Pedro Gomes 95,Feminino,Sênior,2020-05-07,2023-05-07,12733.45,31,40,1,100,25,7,4.4,True,Desligado
96,Samuel Teixeira 96,Não-binário,Júnior,2025-06-03,,4679.62,4,30,1,100,35,2,,False,Ativo
97,Diego Santos 97,Não-binário,Júnior,2025-08-18,,4602.78,7,30,2,200,34,17,4.3,False,Ativo
98,João Lima 98,Feminino,Sênior,2018-02-17,2021-02-16,10920.18,35,10,4,100,32,8,3.7,True,Desligado
99,Lucas Martins 99,Feminino,Júnior,23/03/2025,,4834.23,5,30,3,502,28,10,4.6,False,Ativo
100,Vitor Xavier 100,Masculino,Pleno,2021-01-04,10/10/2022,"R$ 5807,79",12,40,1,300,23,16,3.3,False,Ativo
101,Bruno Souza 101,Não-binário,Sênior,2017-06-03,2023-06-02,12557.35,34,40,3,300,14,9,4.6,False,Ativo
