id_colaborador,nome,genero,nivel,data_admissao,data_promocao,salario_base,percentual_bonus,id_departamento,id_filial,id_reporta_a,processos_actifs,horas_extras_mes,score_satisfacao,home_office,status_atual
1,Isabela Carvalho,Não-binário,Júnior,2024-09-07,,3834.82,0,10,1,501,14,8,4.1,False,Ativo
2,Samuel Teixeira,Não-binário,Pleno,2022-05-09,,7267.8,15,10,2,300,16,8,4.9,True,Desligado
3,Diego Santos,Masculino,Júnior,2025-01-02,,4771.24,1,10,1,501,29,11,4.7,True,Ativo
4,Carla Oliveira,Não-binário,Pleno,2020-04-03,,7819.21,14,30,2,300,32,13,3.5,False,Desligado
5,Carla Oliveira,Não-binário,Júnior,2025-09-15,,4452.47,5,20,3,300,46,42,2.2,False,Desligado
6,Gabriela Almeida,Feminino,Júnior,2025-08-03,,4814.55,4,40,3,501,16,9,4.5,True,Ativo
7,Mariana Rocha,Não-binário,Júnior,2025-01-05,,3828.98,10,30,4,400,17,15,4.3,True,Ativo
8,Isabela Carvalho,Não-binário,Pleno,2023-02-07,,5534.44,20,40,4,400,15,11,4.0,True,Desligado
9,Felipe Costa,Não-binário,Pleno,2022-11-05,2023-12-29,6395.33,12,10,3,400,28,2,4.3,True,Ativo
10,João Lima,Masculino,Pleno,2021-05-05,,8134.03,18,10,1,200,16,17,4.9,False,Desligado
11,Samuel Teixeira,Feminino,Júnior,2025-12-07,,3801.73,3,30,4,501,19,4,3.8,False,Ativo
12,Carla Oliveira,Feminino,Pleno,2023-12-20,2025-11-07,5702.2,14,20,2,502,60,41,1.8,False,Ativo
13,Natan Alves,Masculino,Júnior,2024-07-13,,3641.49,6,40,2,100,35,12,4.6,True,Ativo
14,Samuel Teixeira,Feminino,Sênior,2019-07-08,2023-07-07,10624.13,23,20,2,200,62,35,2.4,False,Desligado
15,Pedro Gomes,Masculino,Pleno,2021-03-13,2022-10-04,5993.91,16,20,4,200,66,57,1.7,False,Ativo
16,Tatiana Mendes,Feminino,Júnior,2025-07-09,,3591.44,8,30,2,100,14,7,3.3,True,Ativo
17,Tatiana Mendes,Feminino,Júnior,2024-09-09,,4368.38,3,20,4,300,66,57,1.4,False,Ativo
18,João Lima,Não-binário,Júnior,2025-04-13,,3974.27,8,40,2,300,18,18,3.7,False,Ativo
19,João Lima,Masculino,Pleno,2020-11-19,,7129.65,20,10,2,200,21,5,4.9,False,Desligado
20,Samuel Teixeira,Feminino,Júnior,2024-06-08,,3908.52,7,30,1,400,20,3,4.1,False,Ativo
21,Kamila Pereira,Feminino,Pleno,2024-04-28,,8439.39,11,30,1,300,34,6,4.2,False,Ativo
22,Bruno Souza,Feminino,Pleno,2021-09-23,,8299.26,20,20,4,501,66,38,1.5,True,Desligado
23,Felipe Costa,Feminino,Júnior,2024-06-30,,4822.12,2,40,2,100,34,5,3.9,True,Ativo
24,Olivia Barbosa,Feminino,Júnior,2024-12-24,,3957.79,4,40,2,501,14,10,3.8,True,Ativo
25,Diego Santos,Feminino,Júnior,2024-09-24,,3767.85,6,40,3,501,31,18,3.4,False,Ativo
26,Natan Alves,Feminino,Júnior,2024-01-02,,4279.88,1,20,3,502,66,45,1.9,False,Ativo
27,João Lima,Não-binário,Júnior,2025-11-13,,4112.59,2,10,3,501,31,20,3.7,False,Ativo
28,Gabriela Almeida,Masculino,Júnior,2025-03-16,,4678.64,10,10,3,502,14,11,4.1,False,Ativo
29,João Lima,Feminino,Pleno,2021-04-05,2022-07-15,5638.64,16,30,1,400,30,8,4.5,True,Ativo
30,Elena Rodrigues,Feminino,Pleno,2023-09-05,,8177.98,12,40,4,100,26,3,4.2,False,Ativo
31,Renata Pinto,Masculino,Sênior,2020-02-19,2025-02-17,12256.94,33,40,2,200,17,17,4.0,True,Ativo
32,Hugo Ribeiro,Não-binário,Júnior,2024-10-08,,4159.81,2,30,4,502,19,14,4.4,False,Ativo
33,Natan Alves,Masculino,Pleno,2021-11-08,2023-08-12,5686.8,19,20,1,300,60,35,2.3,True,Ativo
34,Samuel Teixeira,Não-binário,Júnior,2025-09-09,,4846.72,10,40,4,200,24,7,4.7,True,Ativo
35,Tatiana Mendes,Não-binário,Pleno,2023-09-19,,7428.25,16,10,4,400,18,16,3.8,False,Ativo
36,Carla Oliveira,Masculino,Pleno,2022-08-21,2023-08-30,5656.26,10,30,4,200,18,2,4.3,False,Ativo
37,Diego Santos,Não-binário,Pleno,2023-03-01,,6895.1,12,20,4,300,48,53,1.0,False,Desligado
38,Gabriela Almeida,Não-binário,Júnior,2024-03-18,,4388.15,0,40,4,300,23,19,4.0,False,Ativo
39,Natan Alves,Feminino,Júnior,2025-05-16,,3658.31,8,10,3,501,32,10,4.1,True,Ativo
40,Tatiana Mendes,Masculino,Júnior,2024-10-01,,3983.46,9,40,4,400,31,14,3.8,True,Ativo
41,Gabriela Almeida,Masculino,Sênior,2018-12-28,2023-12-27,12655.33,26,30,2,200,35,15,4.1,False,Ativo
42,Ana Silva,Masculino,Sócio,2013-01-16,2019-01-30,22652.44,50,40,4,,22,13,4.5,True,Ativo
43,Hugo Ribeiro,Masculino,Pleno,2025-05-10,2024-01-15,6446.64,13,30,3,501,20,20,5.0,True,Desligado
44,João Lima,Feminino,Júnior,2024-08-20,,4041.32,4,30,1,400,34,6,4.3,True,Ativo
45,João Lima,Não-binário,Júnior,2025-04-25,,4218.07,6,10,1,502,27,4,4.2,False,Ativo
